"trade_id","symbol","action","quantity","cost_basis","date","description","created_at","modified_at","custodian"
52,"META","SELL",1,258,"2020-09-17 13:30:00+00",,"2022-11-24 12:40:21.812317+00","2022-11-24 12:40:21.812318+00","ROBINHOOD"
53,"META","BUY",1,264.46,"2020-10-09 13:30:00+00",,"2022-11-24 12:40:21.824892+00","2022-11-24 12:40:21.824892+00","ROBINHOOD"
54,"TSLA","BUY",1,430.13,"2020-10-09 13:30:00+00",,"2022-11-24 12:40:21.82975+00","2022-11-24 12:40:21.82975+00","ROBINHOOD"
55,"AAPL","BUY",3.177608,116.11,"2020-10-20 13:30:00+00",,"2022-11-24 12:40:21.834234+00","2022-11-24 12:40:21.834234+00","ROBINHOOD"
56,"AAPL","BUY",4,113.97,"2020-10-26 13:30:00+00",,"2022-11-24 12:40:21.839137+00","2022-11-24 12:40:21.839137+00","ROBINHOOD"
57,"AMZN","BUY",0.05,3196,"2020-10-26 13:30:00+00",,"2022-11-24 12:40:21.843826+00","2022-11-24 12:40:21.843827+00","ROBINHOOD"
58,"TSLA","BUY",1,410.94,"2020-10-26 13:30:00+00",,"2022-11-24 12:40:21.848637+00","2022-11-24 12:40:21.848638+00","ROBINHOOD"
59,"CRM","BUY",2,248,"2020-10-27 13:30:00+00",,"2022-11-24 12:40:21.853465+00","2022-11-24 12:40:21.853465+00","ROBINHOOD"
60,"SAP","BUY",1,117.58,"2020-10-27 13:37:00+00",,"2022-11-24 12:40:21.858394+00","2022-11-24 12:40:21.858394+00","ROBINHOOD"
61,"TSLA","SELL",2,421,"2020-11-04 16:01:00+00",,"2022-11-24 12:40:21.865422+00","2022-11-24 12:40:21.865422+00","ROBINHOOD"
62,"META","SELL",1,279.88,"2020-11-09 20:55:00+00",,"2022-11-24 12:40:21.87615+00","2022-11-24 12:40:21.87615+00","ROBINHOOD"
63,"SNAP","SELL",6,39.93,"2020-11-10 14:30:00+00",,"2022-11-24 12:40:21.88639+00","2022-11-24 12:40:21.88639+00","ROBINHOOD"
64,"CRM","SELL",1,244.92,"2020-11-10 15:27:00+00",,"2022-11-24 12:40:21.901191+00","2022-11-24 12:40:21.901191+00","ROBINHOOD"
